,Contracting Agency Name,Date Signed,Est. Ultimate Completion Date,Product or Service Description,Vendor Address State Name,National Interest Action,Action Obligation
2074,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-09-26,2018-12-31,LEASE OR RENTAL OF EQUIPMENT- MATERIALS HANDLING EQUIPMENT,PUERTO RICO,HURRICANE MARIA 2017,108768.55
2075,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-07-03,2018-07-12,OFFICE SUPPLIES,PUERTO RICO,HURRICANE MARIA 2017,15076.8
2076,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-07-02,2018-09-30,LEASE OR RENTAL OF EQUIPMENT- MISCELLANEOUS,VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,33693.36
2077,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-07-03,2018-08-31,"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",PUERTO RICO,HURRICANE MARIA 2017,223897.5
2078,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-07-05,2018-08-02,"RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",NORTH CAROLINA,HURRICANE MARIA 2017,30752.5
2079,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-07-23,2018-09-25,EDUCATION/TRAINING- GENERAL,PUERTO RICO,HURRICANE MARIA 2017,5370.64
2080,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-07-17,2018-08-03,OFFICE SUPPLIES,LOUISIANA,HURRICANE MARIA 2017,36333.8
2081,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-07-25,2018-08-03,OFFICE SUPPLIES,LOUISIANA,HURRICANE MARIA 2017,-36333.8
2082,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-07-18,2018-08-17,"RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",PUERTO RICO,HURRICANE MARIA 2017,80947.68
2084,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-07-26,2019-07-31,PEST CONTROL AGENTS AND DISINFECTANTS,TENNESSEE,HURRICANE MARIA 2017,1500.0
2085,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-07-30,2018-10-30,MAINT/REPAIR/REBUILD OF EQUIPMENT- TRACTORS,PUERTO RICO,HURRICANE MARIA 2017,15099.61
2086,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-08-23,2018-10-30,MAINT/REPAIR/REBUILD OF EQUIPMENT- TRACTORS,PUERTO RICO,HURRICANE MARIA 2017,-15099.61
2087,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-07-21,2018-08-23,INSTALLATION OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,PUERTO RICO,HURRICANE MARIA 2017,7864.05
2088,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-07-23,2018-11-30,REPAIR OR ALTERATION OF GOVERNMENT-OWNED GOVERNMENT-OPERATED (GOGO) ENVIRONMENTAL LABORATORIES,GEORGIA,HURRICANE MARIA 2017,18950.0
2090,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-07-31,2018-08-17,OFFICE SUPPLIES,PUERTO RICO,HURRICANE MARIA 2017,60774.3
2091,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-07-27,2018-10-31,INSTALLATION OF EQUIPMENT- HARDWARE AND ABRASIVES,PUERTO RICO,HURRICANE MARIA 2017,4975.0
2092,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-07-27,2018-12-31,OPERATION OF PARKING FACILITIES,PUERTO RICO,HURRICANE MARIA 2017,60000.0
2093,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-08-20,2018-12-31,OPERATION OF PARKING FACILITIES,PUERTO RICO,HURRICANE MARIA 2017,50000.0
2094,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-07-31,2018-08-31,"FANS, AIR CIRCULATORS, AND BLOWER EQUIPMENT",PUERTO RICO,HURRICANE MARIA 2017,12232.2
2095,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-08-24,2019-05-21,INSTALLATION OF EQUIPMENT- NONMETALLIC FABRICATED MATERIALS,PUERTO RICO,HURRICANE MARIA 2017,97953.0
2096,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-08-21,2018-10-12,"FANS, AIR CIRCULATORS, AND BLOWER EQUIPMENT",PUERTO RICO,HURRICANE MARIA 2017,122814.77
2097,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-08-09,2018-08-25,SUPPORT- PROFESSIONAL: OTHER,PUERTO RICO,HURRICANE MARIA 2017,4880.0
2098,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-08-23,2018-11-22,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,PUERTO RICO,HURRICANE MARIA 2017,20099.61
2099,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-08-29,2018-10-19,"FENCING, FENCES, GATES AND COMPONENTS",PUERTO RICO,HURRICANE MARIA 2017,47551.38
2100,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-08-24,2018-10-31,TRANSFORMERS: DISTRIBUTION AND POWER STATION,OHIO,HURRICANE MARIA 2017,40118.5
2101,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-09-06,2019-01-04,MISCELLANEOUS SERVICE AND TRADE EQUIPMENT,COLORADO,HURRICANE MARIA 2017,623778.96
2102,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-08-31,2018-09-28,"HAND TOOLS, NONEDGED, NONPOWERED",CALIFORNIA,HURRICANE MARIA 2017,5766.8
2103,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-08-31,2019-06-30,TRAILERS,PUERTO RICO,HURRICANE MARIA 2017,1891.0
2105,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-09-18,2018-12-23,IT AND TELECOM- INTERNET,VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,18894.0
2107,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-09-21,2018-10-06,OFFICE FURNITURE,PUERTO RICO,HURRICANE MARIA 2017,12158.64
2108,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-09-20,2018-10-19,OFFICE FURNITURE,PUERTO RICO,HURRICANE MARIA 2017,4463.0
2109,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-09-21,2018-10-23,"MINERAL CONSTRUCTION MATERIALS, BULK",PUERTO RICO,HURRICANE MARIA 2017,9500.0
2110,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-09-24,2018-10-31,"RADIO NAVIGATION EQUIPMENT, EXCEPT AIRBORNE",PUERTO RICO,HURRICANE MARIA 2017,44160.5
2111,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-09-24,2018-10-04,EDUCATION/TRAINING- OTHER,FLORIDA,HURRICANE MARIA 2017,3500.0
2112,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-09-24,2018-10-04,EDUCATION/TRAINING- OTHER,TEXAS,HURRICANE MARIA 2017,3500.0
2113,FEDERAL EMERGENCY MANAGEMENT AGENCY,2017-10-31,2018-01-11,"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,224400.0
2114,FEDERAL EMERGENCY MANAGEMENT AGENCY,2017-12-18,2018-01-11,"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,84150.0
2115,FEDERAL EMERGENCY MANAGEMENT AGENCY,2017-12-18,2018-01-28,"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,208552.5
2116,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-01-29,2018-01-11,"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,200531.25
2117,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-03-04,2018-03-04,"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,25875.0
2118,FEDERAL EMERGENCY MANAGEMENT AGENCY,2017-10-17,2017-10-20,INFORMATION TECHNOLOGY SUPPLIES,CALIFORNIA,HURRICANE MARIA 2017,10711.8
2119,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-02-08,2018-04-11,HOUSEKEEPING- CUSTODIAL JANITORIAL,ILLINOIS,HURRICANE MARIA 2017,2500.0
2120,FEDERAL EMERGENCY MANAGEMENT AGENCY,2018-03-14,2019-09-27,INFORMATION TECHNOLOGY COMPONENTS,TENNESSEE,HURRICANE MARIA 2017,4408.0
2121,FEDERAL EMERGENCY MANAGEMENT AGENCY,2017-10-12,2018-10-11,IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS,ARIZONA,HURRICANE MARIA 2017,999340.0
2125,OFFICE OF PROCUREMENT OPERATIONS,2017-10-27,2019-03-28,HOUSEKEEPING- GUARD,FLORIDA,HURRICANE MARIA 2017,712512.18
2126,OFFICE OF PROCUREMENT OPERATIONS,2018-01-25,2019-03-28,HOUSEKEEPING- GUARD,FLORIDA,HURRICANE MARIA 2017,19387.4
2127,OFFICE OF PROCUREMENT OPERATIONS,2018-02-01,2019-03-28,HOUSEKEEPING- GUARD,FLORIDA,HURRICANE MARIA 2017,437.78
2128,OFFICE OF PROCUREMENT OPERATIONS,2018-05-02,2017-10-31,HOUSEKEEPING- GUARD,FLORIDA,HURRICANE MARIA 2017,-136051.42
2129,OFFICE OF PROCUREMENT OPERATIONS,2017-10-27,2019-03-28,HOUSEKEEPING- GUARD,FLORIDA,HURRICANE MARIA 2017,167715.32
2130,OFFICE OF PROCUREMENT OPERATIONS,2018-01-23,2019-03-28,HOUSEKEEPING- GUARD,FLORIDA,HURRICANE MARIA 2017,311922.0
2131,OFFICE OF PROCUREMENT OPERATIONS,2018-04-05,2018-09-28,HOUSEKEEPING- GUARD,FLORIDA,HURRICANE MARIA 2017,208464.0
2132,OFFICE OF PROCUREMENT OPERATIONS,2017-10-31,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,1427847.49
2133,OFFICE OF PROCUREMENT OPERATIONS,2017-11-21,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,902674.62
2134,OFFICE OF PROCUREMENT OPERATIONS,2017-11-01,2019-03-28,HOUSEKEEPING- GUARD,VIRGINIA,HURRICANE MARIA 2017,80607.0
2135,OFFICE OF PROCUREMENT OPERATIONS,2017-11-15,2019-03-28,HOUSEKEEPING- GUARD,VIRGINIA,HURRICANE MARIA 2017,161627.5
2136,OFFICE OF PROCUREMENT OPERATIONS,2017-12-22,2019-03-28,HOUSEKEEPING- GUARD,VIRGINIA,HURRICANE MARIA 2017,9798.0
2137,OFFICE OF PROCUREMENT OPERATIONS,2018-01-16,2019-03-28,HOUSEKEEPING- GUARD,VIRGINIA,HURRICANE MARIA 2017,131551.0
2138,OFFICE OF PROCUREMENT OPERATIONS,2018-02-13,2019-03-28,HOUSEKEEPING- GUARD,VIRGINIA,HURRICANE MARIA 2017,119080.5
2139,OFFICE OF PROCUREMENT OPERATIONS,2018-03-07,2019-03-28,HOUSEKEEPING- GUARD,VIRGINIA,HURRICANE MARIA 2017,54062.25
2140,OFFICE OF PROCUREMENT OPERATIONS,2017-11-08,2019-03-28,HOUSEKEEPING- GUARD,VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,256624.0
2141,OFFICE OF PROCUREMENT OPERATIONS,2017-11-21,2019-03-28,HOUSEKEEPING- GUARD,VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,14924.87
2142,OFFICE OF PROCUREMENT OPERATIONS,2017-11-13,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,3387015.36
2143,OFFICE OF PROCUREMENT OPERATIONS,2017-11-27,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,163073.64
2144,OFFICE OF PROCUREMENT OPERATIONS,2018-01-09,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,1810224.76
2145,OFFICE OF PROCUREMENT OPERATIONS,2018-01-17,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,73745.28
2146,OFFICE OF PROCUREMENT OPERATIONS,2018-01-23,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,1810.71
2147,OFFICE OF PROCUREMENT OPERATIONS,2018-01-29,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,3585814.85
2148,OFFICE OF PROCUREMENT OPERATIONS,2018-02-13,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,63044.95
2149,OFFICE OF PROCUREMENT OPERATIONS,2018-03-01,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,500414.4
2150,OFFICE OF PROCUREMENT OPERATIONS,2018-03-15,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,5114481.69
2151,OFFICE OF PROCUREMENT OPERATIONS,2018-04-09,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,5207737.48
2152,OFFICE OF PROCUREMENT OPERATIONS,2018-04-17,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,233980.65
2153,OFFICE OF PROCUREMENT OPERATIONS,2018-05-01,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,7387849.33
2154,OFFICE OF PROCUREMENT OPERATIONS,2018-05-24,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,56776.22
2155,OFFICE OF PROCUREMENT OPERATIONS,2018-06-07,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,6973475.56
2156,OFFICE OF PROCUREMENT OPERATIONS,2018-06-13,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,5227081.43
2157,OFFICE OF PROCUREMENT OPERATIONS,2018-06-19,2019-03-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,61470.48
2158,OFFICE OF PROCUREMENT OPERATIONS,2017-11-14,2019-03-28,HOUSEKEEPING- GUARD,FLORIDA,HURRICANE MARIA 2017,742500.0
2159,OFFICE OF PROCUREMENT OPERATIONS,2018-01-25,2019-03-28,HOUSEKEEPING- GUARD,FLORIDA,HURRICANE MARIA 2017,72750.0
2160,OFFICE OF PROCUREMENT OPERATIONS,2018-04-12,2019-03-28,HOUSEKEEPING- GUARD,FLORIDA,HURRICANE MARIA 2017,-65251.25
2161,OFFICE OF PROCUREMENT OPERATIONS,2018-04-26,2019-03-28,HOUSEKEEPING- GUARD,FLORIDA,HURRICANE MARIA 2017,1500.0
2162,OFFICE OF PROCUREMENT OPERATIONS,2017-12-08,2019-03-28,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,820438.98
2163,OFFICE OF PROCUREMENT OPERATIONS,2018-01-03,2017-12-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,1204078.35
2164,OFFICE OF PROCUREMENT OPERATIONS,2018-01-05,2017-12-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,62625.0
2165,OFFICE OF PROCUREMENT OPERATIONS,2018-02-22,2018-01-31,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,899846.1
2166,OFFICE OF PROCUREMENT OPERATIONS,2017-12-21,2017-11-30,HOUSEKEEPING- GUARD,VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,421596.29
2167,OFFICE OF PROCUREMENT OPERATIONS,2018-01-10,2018-09-30,HOUSEKEEPING- GUARD,VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,11280.0
2168,OFFICE OF PROCUREMENT OPERATIONS,2018-01-19,2018-09-30,HOUSEKEEPING- GUARD,VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,10470.0
2169,OFFICE OF PROCUREMENT OPERATIONS,2018-02-09,2018-09-30,HOUSEKEEPING- GUARD,VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,1035520.45
2170,OFFICE OF PROCUREMENT OPERATIONS,2018-03-06,2018-09-30,HOUSEKEEPING- GUARD,VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,929.3
2171,OFFICE OF PROCUREMENT OPERATIONS,2018-04-05,2018-09-30,HOUSEKEEPING- GUARD,VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,860661.63
2173,OFFICE OF PROCUREMENT OPERATIONS,2018-05-08,2018-09-30,HOUSEKEEPING- GUARD,VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,217316.32
2174,OFFICE OF PROCUREMENT OPERATIONS,2018-01-18,2018-09-30,HOUSEKEEPING- GUARD,VIRGINIA,HURRICANE MARIA 2017,60616.08
2175,TRANSPORTATION SECURITY ADMINISTRATION,2017-12-06,2018-01-04,OFFICE FURNITURE,MICHIGAN,HURRICANE MARIA 2017,2095.6
2177,TRANSPORTATION SECURITY ADMINISTRATION,2018-03-20,2018-09-30,OFFICE FURNITURE,MICHIGAN,HURRICANE MARIA 2017,488847.72
2179,TRANSPORTATION SECURITY ADMINISTRATION,2018-08-27,2019-08-26,OFFICE FURNITURE,MICHIGAN,HURRICANE MARIA 2017,55499.49
2180,TRANSPORTATION SECURITY ADMINISTRATION,2017-10-17,2017-12-16,"OUTERWEAR, MEN'S",TENNESSEE,HURRICANE MARIA 2017,15185.55
2181,TRANSPORTATION SECURITY ADMINISTRATION,2017-11-09,2017-12-16,"OUTERWEAR, MEN'S",TENNESSEE,HURRICANE MARIA 2017,1912.65
2182,U.S. COAST GUARD,2017-12-07,2018-04-11,"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",KANSAS,HURRICANE MARIA 2017,200000.0
2183,U.S. COAST GUARD,2018-01-05,2018-01-05,"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",KANSAS,HURRICANE MARIA 2017,-200000.0
2184,U.S. COAST GUARD,2017-12-08,2017-12-08,"GENERATORS AND GENERATOR SETS, ELECTRICAL",VIRGINIA,HURRICANE MARIA 2017,32148.0
2187,U.S. COAST GUARD,2018-07-24,2018-07-01,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,FLORIDA,HURRICANE MARIA 2017,19963.84
2188,U.S. COAST GUARD,2018-06-04,2018-07-04,"GENERATORS AND GENERATOR SETS, ELECTRICAL",VIRGINIA,HURRICANE MARIA 2017,58906.25
2189,U.S. COAST GUARD,2018-07-06,2018-07-01,"GENERATORS AND GENERATOR SETS, ELECTRICAL",VIRGINIA,HURRICANE MARIA 2017,57148.0
2191,U.S. COAST GUARD,2018-01-03,2018-03-01,SAFETY AND RESCUE EQUIPMENT,VIRGINIA,HURRICANE MARIA 2017,17618.8
2192,U.S. COAST GUARD,2018-07-23,2018-08-22,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",ILLINOIS,HURRICANE MARIA 2017,3641.0
2195,U.S. COAST GUARD,2018-07-17,2018-09-21,OFFICE DEVICES AND ACCESSORIES,PENNSYLVANIA,HURRICANE MARIA 2017,6446.94
2196,U.S. COAST GUARD,2018-07-25,2018-08-24,REFRIGERATION EQUIPMENT,OHIO,HURRICANE MARIA 2017,8040.0
2197,U.S. COAST GUARD,2018-08-17,2018-04-18,R&D- ENVIRONMENTAL PROTECTION: WATER POLLUTION (MANAGEMENT/SUPPORT),MASSACHUSETTS,HURRICANE MARIA 2017,4597.0
2199,U.S. COAST GUARD,2017-11-17,2018-01-17,REPAIR OR ALTERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,PUERTO RICO,HURRICANE MARIA 2017,86984.0
2203,U.S. COAST GUARD,2018-02-22,2018-02-22,SUPPORT- PROFESSIONAL: OTHER,PUERTO RICO,HURRICANE MARIA 2017,1950.0
2206,U.S. COAST GUARD,2018-05-30,2019-05-31,LEASE/RENTAL OF MISCELLANEOUS BUILDINGS,PUERTO RICO,HURRICANE MARIA 2017,62934.0
2207,U.S. COAST GUARD,2018-06-12,2018-08-12,REPAIR OR ALTERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,FLORIDA,HURRICANE MARIA 2017,63869.0
2208,U.S. COAST GUARD,2017-10-30,2017-10-30,REPAIR OR ALTERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,GEORGIA,HURRICANE MARIA 2017,59662.0
2209,U.S. COAST GUARD,2017-11-30,2018-03-28,"EQUIPMENT AND MATERIALS TESTING- REFRIGERATION, AIR CONDITIONING, AND AIR CIRCULATING EQUIPMENT",PUERTO RICO,HURRICANE MARIA 2017,90625.0
2210,U.S. COAST GUARD,2017-12-12,2018-03-12,MAINTENANCE OF TROOP HOUSING FACILITIES,PUERTO RICO,HURRICANE MARIA 2017,54000.0
2211,U.S. COAST GUARD,2018-02-01,2018-03-03,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,PUERTO RICO,HURRICANE MARIA 2017,29600.0
2212,U.S. COAST GUARD,2018-02-14,2018-03-16,REPAIR OR ALTERATION OF OFFICE BUILDINGS,PUERTO RICO,HURRICANE MARIA 2017,47901.0
2213,U.S. COAST GUARD,2018-06-05,2018-08-05,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,PUERTO RICO,HURRICANE MARIA 2017,10256.0
2214,U.S. COAST GUARD,2017-12-08,2017-12-08,REPAIR OR ALTERATION OF MAINTENANCE BUILDINGS,FLORIDA,HURRICANE MARIA 2017,16398.64
2215,U.S. COAST GUARD,2018-02-21,2018-03-23,REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),GEORGIA,HURRICANE MARIA 2017,10386.84
2216,U.S. COAST GUARD,2017-12-19,2018-01-18,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,FLORIDA,HURRICANE MARIA 2017,42267.0
2217,U.S. COAST GUARD,2017-10-06,2017-11-05,"ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT",VIRGINIA,HURRICANE MARIA 2017,74712.32
2218,U.S. COAST GUARD,2018-09-10,2022-11-05,ARCHITECT AND ENGINEERING- GENERAL: OTHER,CALIFORNIA,HURRICANE MARIA 2017,795145.17
2219,U.S. COAST GUARD,2018-08-08,2019-01-20,MISCELLANEOUS SHIP AND MARINE EQUIPMENT,,HURRICANE MARIA 2017,328459.5
2220,U.S. COAST GUARD,2017-10-25,2017-10-25,SPECIAL SERVICE VESSELS,FLORIDA,HURRICANE MARIA 2017,6090.0
2221,U.S. COAST GUARD,2018-03-06,2017-11-24,SPECIAL SERVICE VESSELS,FLORIDA,HURRICANE MARIA 2017,6090.0
2222,U.S. COAST GUARD,2018-06-14,2019-01-30,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,PUERTO RICO,HURRICANE MARIA 2017,637263.62
2223,U.S. COAST GUARD,2018-01-05,2018-04-30,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,PUERTO RICO,HURRICANE MARIA 2017,701313.18
2225,U.S. COAST GUARD,2018-03-12,2018-06-11,OTHER ENVIRONMENTAL SERVICES,PENNSYLVANIA,HURRICANE MARIA 2017,82997.0
2226,U.S. COAST GUARD,2017-12-04,2018-01-19,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PUERTO RICO,HURRICANE MARIA 2017,70850.0
2228,U.S. COAST GUARD,2018-01-10,2018-03-12,"FENCING, FENCES, GATES AND COMPONENTS",PUERTO RICO,HURRICANE MARIA 2017,56350.0
2230,U.S. COAST GUARD,2018-02-26,2018-06-30,REPAIR OR ALTERATION OF OTHER AIRFIELD STRUCTURES,PUERTO RICO,HURRICANE MARIA 2017,84180.0
2232,U.S. COAST GUARD,2018-09-21,2018-12-25,REPAIR OR ALTERATION OF OTHER AIRFIELD STRUCTURES,PUERTO RICO,HURRICANE MARIA 2017,-4885.0
2233,U.S. COAST GUARD,2018-01-24,2018-05-08,MAINTENANCE OF MISCELLANEOUS BUILDINGS,PUERTO RICO,HURRICANE MARIA 2017,54770.55
2235,U.S. COAST GUARD,2017-10-13,2017-11-06,"LEASE OR RENTAL OF EQUIPMENT- GROUND EFFECT VEHICLES, MOTOR VEHICLES, TRAILERS, AND CYCLES",PUERTO RICO,HURRICANE MARIA 2017,30000.0
2236,U.S. COAST GUARD,2017-10-24,2017-12-15,"LEASE OR RENTAL OF EQUIPMENT- GROUND EFFECT VEHICLES, MOTOR VEHICLES, TRAILERS, AND CYCLES",PUERTO RICO,HURRICANE MARIA 2017,70000.0
2237,U.S. COAST GUARD,2017-10-25,2017-12-15,"LEASE OR RENTAL OF EQUIPMENT- GROUND EFFECT VEHICLES, MOTOR VEHICLES, TRAILERS, AND CYCLES",PUERTO RICO,HURRICANE MARIA 2017,45000.0
2239,U.S. COAST GUARD,2018-05-30,2017-11-18,"LEASE OR RENTAL OF EQUIPMENT- GROUND EFFECT VEHICLES, MOTOR VEHICLES, TRAILERS, AND CYCLES",PUERTO RICO,HURRICANE MARIA 2017,-70000.0
2240,U.S. COAST GUARD,2017-11-14,2017-12-08,PASSENGER MOTOR VEHICLES,PUERTO RICO,HURRICANE MARIA 2017,60000.0
2241,U.S. COAST GUARD,2017-10-06,2017-11-05,SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT,TEXAS,HURRICANE MARIA 2017,160000.0
2242,U.S. COAST GUARD,2017-11-06,2017-12-08,SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT,TEXAS,HURRICANE MARIA 2017,80000.0
2243,U.S. COAST GUARD,2017-12-07,2018-03-05,SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT,TEXAS,HURRICANE MARIA 2017,245000.0
2245,U.S. COAST GUARD,2018-06-14,2018-03-05,SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT,TEXAS,HURRICANE MARIA 2017,-106389.74
2246,U.S. COAST GUARD,2018-08-29,2018-10-15,BUOYS,,HURRICANE MARIA 2017,71901.5
2247,U.S. COAST GUARD,2017-10-04,2017-11-03,ENVIRONMENTAL SYSTEMS PROTECTION- OIL SPILL RESPONSE,NEW YORK,HURRICANE MARIA 2017,250000.0
2248,U.S. COAST GUARD,2018-01-26,2018-03-03,ENVIRONMENTAL SYSTEMS PROTECTION- OIL SPILL RESPONSE,NEW YORK,HURRICANE MARIA 2017,27009.94
